,amenity,brand,brand:wikidata,brand:wikipedia,cuisine,drive_through,name,latitude,longitude,id,shop,takeaway,note,addr:housenumber,addr:postcode,addr:street,internet_access,operator,source,addr:country,contact:website,created_by,addr:city,organic,wheelchair,name:en,name:es,wheelchair:description,old_name,alt_name,website,old_name:-2013,old_name:2013-2018,opening_hours,phone,wikidata,wikipedia,educamadrid:codigo_postal,educamadrid:distrito,educamadrid:municipio,educamadrid:nombre_via,educamadrid:numero_portal,educamadrid:tipo_via,delivery,outdoor_seating,atm,fuel:diesel,fuel:octane_95,fuel:octane_98,payment:coins,payment:maestro,payment:mastercard,payment:notes,payment:visa,payment:visa_debit,payment:visa_electron,fuel:GTL_diesel,contact:fax,contact:phone,payment:cash,payment:credit_cards,entrance,toilets:wheelchair,name:zh,delivery:covid19,opening_hours:covid19,takeaway:covid19,layer,diet:gluten_free,diet:vegan,diet:vegetarian,reservation,foot,level,addr:housename,int_name,opening_hours:es,drink:club-mate,description,addr:province,addr:state,old_name_1,operator:wikidata,operator:wikipedia,source:date,old_name1,short_name,designation,disused:shop,addr,name:pt,toilets,toilets:access,noname,contact:facebook,craft,contact:email,disused:amenity,drive_in,precio_menudia,internet_access:fee,phone:ES,payment:bitcoin,fixme,smoking,nohousenumber,payment:contactless,email,addr:subdistrict,access:covid19,drive_through:covid19,official_name,old_name_2,name:ru,payment:american_express,payment:diners_club,butcher,old_name:-1986,old_name:1986-2016,capacity,addr:ward,check_date,wheelchair:description:es,fair_trade,contact:twitter,changing_table,building,contact:cellphone,name:uk,addr:district,name:de,disused,source:url,source:web,payment:debit_cards,building:levels,payment:bancomat,payment:discover_card,payment:electronic_purses,payment:ep_avant,payment:ep_chipknip,payment:ep_geldkarte,payment:ep_mep,payment:girocard,payment:jcb,payment:laser,addr:unit,addr:place,payment:meal_voucher,bakery,payment:telephone_cards,payment:twyp,name:ja,beacon:type,indoormark,payment:cards,start_date,name:it
0,fast_food,McDonald's,Q38076,en:McDonald's,burger,yes,McDonald's,40.3948364,-3.7980999,25910477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,Alcampo,Q2832081,es:Alcampo,,,Alcampo,40.4803520,-3.7068876,26261483,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,fast_food,Burger King,Q177054,en:Burger King,burger,,Burger King,40.4333661,-3.6072228,26289763,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,fast_food,,,,,,,40.4274303,-3.6962971,27508031,,,ice cream parlor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,fast_food,,,,burger,,Don Oso,40.4366465,-3.7163184,27508886,,,,90,28015,Calle de Donoso Cortés,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,fast_food,McDonald's,Q38076,en:McDonald's,burger,,McDonald's,40.4164064,-3.7049818,27717687,,yes,,,,,wlan,McDonald's,survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,40.4857432,-3.6896766,142291505,bakery,,,,,,,,,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,chinos alimentación,40.4860809,-3.6903822,143098149,convenience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,Carnicería,40.4856172,-3.6883259,143098164,butcher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,40.4846076,-3.6859722,143098166,bakery,,,,,,,,,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
